line_number	ms_number	folio_number	start_time	end_time	direction	correspondant	other
1	2572	I-VIII	1850	1852	to_Chabas	Cahen, Samuel	
2	2572	IX-XII	1850	1852	to_Chabas	Stephanopole, M.A. (née [Rome])	
3	2572	1-3	1853	1853	to_Chabas	Leemans, Conrad	
4	2572	4-19bis	1853	1853	to_Chabas	Rougé, Emmanuel de	
5	2572	20-22a	1853	1853	to_Chabas	Birch, Samuel	
6	2572	22b-22c	1853	1853	to_Chabas	Niepce, Léopold	
7	2572	23-24	1853	1853	to_Chabas	Birch, Samuel	
8	2572	25-28	1853	1853	from_Chabas	Birch, Samuel	
9	2572	29-32	1853	1853	to_Chabas	Birch, Samuel	
10	2572	33-42	1853	1853	from_Chabas	Birch, Samuel	
11	2572	43-46	1853	1853	to_Chabas	Birch, Samuel	
12	2572	47-41bis	1854	1854	to_Chabas	Birch, Samuel	
13	2572	42bis-44bis	1854	1854	to_Chabas	Birch, Samuel	
14	2572	45bis-49bis	1854	1854	to_Chabas	Birch, Samuel	
15	2572	50-53	1854	1854	to_Chabas	Birch, Samuel	
16	2572	54-57	1854	1854	from_Chabas	Rougé, Emmanuel de	
17	2572	58-63	1854	1854	to_Chabas	Rougé, Emmanuel de	
18	2572	64-66	1854	1854	from_Chabas	Birch, Samuel	
19	2572	67-68	1854	1854	to_Chabas	Birch, Samuel	
20	2572	69-74	1854	1854	from_Chabas	Birch, Samuel	
21	2572	69-74	1854	1854	from_Chabas	Rougé, Emmanuel de	
22	2572	75-77	1855	1855	to_Chabas	Rougé, Emmanuel de	
23	2572	78-79	1855	1855	from_Chabas	Birch, Samuel	
24	2572	80-82	1855	1855	to_Chabas	Birch, Samuel	
25	2572	83-90	1855	1855	from_Chabas	Birch, Samuel	
26	2572	91-93	1855	1855	to_Chabas	Birch, Samuel	
27	2572	94-98	1855	1855	from_Chabas	Birch, Samuel	
28	2572	94-98	1855	1855	from_Chabas	Rougé, Emmanuel de	
29	2572	99-100	1855	1855	to_Chabas	Greene, John B.	
30	2572	101-104	1855	1855	to_Chabas	Devéria, Théodule	
31	2572	105-106	1855	1855	from_Chabas	Devéria, Théodule	
32	2572	107-108	1855	1855	to_Chabas	Rougé, Emmanuel de	
33	2572	109-112	1855	1855	from_Chabas	Greene, John B.	
34	2572	109-112	1855	1855	from_Chabas	Mariette, Auguste	
35	2572	113-122	1855	1855	to_Chabas	Devéria, Théodule	
36	2572	123-126	1855	1855	to_Chabas	Birch, Samuel	
37	2572	127-136	1855	1855	from_Chabas	Birch, Samuel	
37	2572	127-136	1855	1855	from_Chabas	Devéria, Théodule	
38	2572	137-138	1856	1856	to_Chabas	Devéria, Théodule	
