sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
1	A Professor	human	unknown	unknown	male	professor	unknown								
2	[Signataire non identifié]	human	unknown	unknown	unknown	unknown	Netherlands								From Amsterdam (Netherlands)
3	[Signataire(s) non identifié(s)]	human	unknown	unknown	unknown	unknown	unknown								
4	Abel, Carl	human	1837	1906	male	linguist ; egyptologist ; writer	Germany			https://www.wikidata.org/wiki/Q99894	http://isni.org/isni/0000000108773444	http://viaf.org/viaf/20420732		yes	
5	Académie des inscriptions et belles-lettres	organisation	no	no	no	unknown	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb118621340	https://data.bnf.fr/ark:/12148/cb118621340	https://www.wikidata.org/wiki/Q337526	http://isni.org/isni/0000000121524813	http://viaf.org/viaf/126085610			Letter anouncing to Chabas he has been nominated as a correspondant
6	Académie royale des Sciences à Amsterdam	organisation	no	no	no	unknown	Netherlands	https://catalogue.bnf.fr/ark:/12148/cb11930623s	https://data.bnf.fr/ark:/12148/cb11930623s	https://www.wikidata.org/wiki/Q253439	http://isni.org/isni/0000000121536865	http://viaf.org/viaf/127339097			
7	Académie royale des Sciences et des Lettres	organisation	no	no	no	unknown	unknown								
8	Albert, Aristide	human	1821	1903	male	local historian ; librarian	France	https://catalogue.bnf.fr/ark:/12148/cb12462033t	https://data.bnf.fr/ark:/12148/cb12462033t		http://isni.org/isni/0000000034204440			no	From Briançon (Hautes-Alpes)
9	Allemant, Eugène	human	1837	unknown	male	antiquarian seller	France							yes	
10	Ancessi, Victor	human	1844	1878	male	egyptologist	France	https://catalogue.bnf.fr/ark:/12148/cb10542475b	https://data.bnf.fr/ark:/12148/cb10542475b					yes	
11	Aniéré, C.	human	unknown	unknown	unknown	unknown	France							no	From Dieppe (Seine-Maritime)
12	Arbaumont, Jules d'	human	1831	1916	male	historian ; naturalist	France ; Burgundy	https://catalogue.bnf.fr/ark:/12148/cb12427384x	https://data.bnf.fr/ark:/12148/cb12427384x	https://www.wikidata.org/wiki/Q28841614	http://isni.org/isni/0000000109180106	http://viaf.org/viaf/76694375	https://cths.fr/an/savant.php?id=2253	no	
13	Arcelin, Adrien	human	1838	1904	male	geologist ; archaeologist ; prehistorian ; archivist	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb11889031s	https://data.bnf.fr/ark:/12148/cb11889031s	https://www.wikidata.org/wiki/Q2825116	http://isni.org/isni/0000000005010815	http://viaf.org/viaf/29529199	https://cths.fr/an/savant.php?id=1660	yes	
14	Aubert-Roche, Louis-Rémy (docteur)	human	1810	1874	male	doctor	Egypt	https://catalogue.bnf.fr/ark:/12148/cb13013535j	https://data.bnf.fr/ark:/12148/cb13013535j					no	Doctor in Egypt (in Alexandria, then for the Suez Canal Company)
15	Aubert, Édouard	human	1814	1888	male	archaeologist	France	https://catalogue.bnf.fr/ark:/12148/cb133205555	https://data.bnf.fr/ark:/12148/cb133205555	https://www.wikidata.org/wiki/Q19629759	http://isni.org/isni/0000000061220075	http://viaf.org/viaf/88068887	https://cths.fr/an/savant.php?id=784	no	Member of the Société nationale des antiquaires de France
16	Aurès, Auguste	human	1806	1894	male	egyptologist ; archaeologist ; engineer	France	https://catalogue.bnf.fr/ark:/12148/cb12314378w	https://data.bnf.fr/ark:/12148/cb12314378w	https://www.wikidata.org/wiki/Q55761407		http://viaf.org/viaf/66534256	https://cths.fr/an/savant.php?id=102792	yes	
17	Avon, Adolphe	human	1841	1918	male	military officer	France	https://catalogue.bnf.fr/ark:/12148/cb169328465	https://data.bnf.fr/ark:/12148/cb169328465					no	A Captain
18	Avril, Charles	human	unknown	unknown	male	unknown	unknown							no	
19	Aymard, Auguste	human	1809	1889	male	archivist ; local historian ; curator ; prehistorian ; archaeologist	France ; Auvergne	https://catalogue.bnf.fr/ark:/12148/cb101953843	https://data.bnf.fr/ark:/12148/cb101953843		http://isni.org/isni/0000000071039691		https://cths.fr/an/savant.php?id=1310	no	
